ACCESSION_NUMBER	REPORTCALENDARORQUARTER	ISAMENDMENT	AMENDMENTNO	AMENDMENTTYPE	CONFDENIEDEXPIRED	DATEDENIEDEXPIRED	DATEREPORTED	REASONFORNONCONFIDENTIALITY	FILINGMANAGER_NAME	FILINGMANAGER_STREET1	FILINGMANAGER_STREET2	FILINGMANAGER_CITY	FILINGMANAGER_STATEORCOUNTRY	FILINGMANAGER_ZIPCODE	REPORTTYPE	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	PROVIDEINFOFORINSTRUCTION5	ADDITIONALINFORMATION
0001036248-25-000009	30-SEP-2025								QUEST INVESTMENT MANAGEMENT LLC	5335 MEADOWS ROAD, SUITE 400		LAKE OSWEGO	OR	97035	13F HOLDINGS REPORT	028-06280			N	
0001779789-25-000003	30-SEP-2025	N							IEQ CAPITAL, LLC	950 TOWER LANE	SUITE 1800	Foster City	CA	94404	13F HOLDINGS REPORT	028-19743	000301819	801-115278	N	
0000905148-25-003989	30-SEP-2025	N							Norinchukin Bank, The	OTEMACHI ONE TOWER	2-1, OTEMACHI 1-CHOME, CHIYODA-KU	TOKYO	M0	100-8155	13F HOLDINGS REPORT	028-13977			N	
0000749044-25-000008	30-SEP-2025	Y	1	RESTATEMENT					RESOURCES MANAGEMENT CORP /CT/ /ADV	643 PROSPECT AVENUE		WEST HARTFORD	CT	06105	13F HOLDINGS REPORT	028-18952			N	
0001960050-25-000021	30-SEP-2025	N							Capitolis Liquid Global Markets LLC	11 WEST 42ND STREET FLOOR 15		NEW YORK	NY	10036	13F HOLDINGS REPORT	028-23813			N	
0000905148-25-003983	30-SEP-2025	N							MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.	ROOM 1101, 11/F LEE GARDEN THREE	1 SUNNING ROAD	CAUSEWAY BAY	K3	00000	13F HOLDINGS REPORT	028-18036			N	
0001275218-25-000005	30-SEP-2025								ALGERT GLOBAL LLC	101 CALIFORNIA STREET	SUITE 3240	SAN FRANCISCO	CA	94111	13F HOLDINGS REPORT	028-10860			N	
0001463217-25-000012	30-SEP-2025								UNITED CAPITAL FINANCIAL ADVISORS, LLC	125 E JOHN CARPENTER FRWY	SUITE 1300	IRVING	TX	75062	13F HOLDINGS REPORT	028-13508	000134600	801-64376	N	
0000905148-25-003980	30-SEP-2025	N							DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main	PLATZ DER REPUBLIK		FRANKFURT AM MAIN	2M	60265	13F HOLDINGS REPORT	028-17954			N	
0001438284-25-000003	30-SEP-2025	N							OXFORD ASSET MANAGEMENT LLP	OXAM HOUSE	6 GEORGE STREET	OXFORD	X0	OX1 2BW	13F HOLDINGS REPORT	028-13149	000136937	802-118974	N	
0001802365-25-000003	30-SEP-2025								Strategic Wealth Investment Group, LLC	500 N. HURSTBOURNE PKWY	SUITE 120	LOUISVILLE	KY	40222	13F HOLDINGS REPORT	028-19838			N	
0001634149-25-000008	30-SEP-2025								Anchor Investment Management, LLC	3205 DEVINE STREET		COLUMBIA	SC	29205	13F HOLDINGS REPORT	028-23485	000135296	801-64338	N	
0001631208-25-000003	30-SEP-2025	N							Credit Capital Investments LLC	354 EISENHOWER PARKWAY	PLAZA ONE, SUITE 2150	LIVINGSTON	NJ	07039	13F HOLDINGS REPORT	028-16699	000160537	801-74050	N	
0001580642-25-007297	30-SEP-2025	N							Mariner, LLC	5700 W. 112th Street	Suite 500	Overland Park	KS	66211	13F HOLDINGS REPORT	028-13550			N	
0001996244-25-000011	30-SEP-2025								SIH Partners, LLLP	1201 N. Orange Street	Suite 715	Wilmington	DE	19801	13F HOLDINGS REPORT	028-23822			N	
0001744349-25-000020	30-SEP-2025								ELEVATION POINT WEALTH PARTNERS, LLC	1580 LINCOLN STREET, SUITE 680		DENVER	CO	80203	13F HOLDINGS REPORT	028-18840			N	
0001766157-25-000005	30-SEP-2025								Sargent Investment Group, LLC	4920 ELM STREET	SUITE 305	BETHESDA	MD	20814	13F HOLDINGS REPORT	028-19098			N	
0001607239-25-000007	30-SEP-2025	N							Moors & Cabot, Inc.	One Federal St.	19th Floor	BOSTON	MA	02110	13F HOLDINGS REPORT	028-16128	000000594	801-48726	N	
0001973324-25-000011	30-SEP-2025								Polymer Capital Management (US) LLC	825 THIRD AVENUE	26TH FLOOR	NEW YORK	NY	10022	13F HOLDINGS REPORT	028-25018			N	
0001999371-25-017858	30-SEP-2025	N							CLOUGH CAPITAL PARTNERS L P	53 State Street	27th Floor	Boston	MA	02109	13F HOLDINGS REPORT	028-10679	000131257	801-63142	N	
0000895421-25-000593	30-SEP-2025								MORGAN STANLEY	1585 BROADWAY		NEW YORK	NY	10036	13F COMBINATION REPORT	028-03432			N	
0000009631-25-000013	30-SEP-2025	N							BANK OF NOVA SCOTIA	40 TEMPERANCE STREET		TORONTO	A6	M5H 0B4	13F COMBINATION REPORT	028-11475			N	
0002040084-25-000003	30-SEP-2025	N							NFP Retirement, Inc.	120 VANTIS	SUITE 400	ALISO VIEJO	CA	92656	13F HOLDINGS REPORT	028-25054	000121254	801-66107	N	
0001769089-25-000005	30-SEP-2025								Arkos Global Advisors	4400 POST OAK PARKWAY	STE. 1950	HOUSTON	TX	77027	13F HOLDINGS REPORT	028-19433			N	
0002034073-25-000004	30-SEP-2025								PROMETHIUM ADVISORS,LLC	7272 WISCONSIN AVE	10-105	BETHESDA	MD	20814	13F HOLDINGS REPORT	028-24485			N	
0001828301-25-000036	30-SEP-2025								XTX Topco Ltd	R7	14-18 HANDYSIDE ST	LONDON	X0	N1C 4DN	13F HOLDINGS REPORT	028-21218			N	
0001062993-25-016823	30-SEP-2025	N							OMERS ADMINISTRATION Corp	900-100 ADELAIDE ST W		TORONTO	A6	M5H 0E2	13F HOLDINGS REPORT	028-12070			N	
0001172661-25-004970	30-SEP-2025	N							INTEGRITY ALLIANCE, LLC.	4135 Nw Urbandale Dr		Urbandale	IA	50322	13F HOLDINGS REPORT	028-25550	000139627	801-69742	N	
0001776821-25-000006	30-SEP-2025								Spectrum Wealth Advisory Group, LLC	5925 GRANITE LAKE DRIVE	SUITE 130	GRANITE BAY	CA	95746	13F HOLDINGS REPORT	028-19540	000298632	801-114024	N	
0000938076-25-000018	30-SEP-2025								STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM	1801 HERMITAGE BLVD, SUITE 100	P O BOX 13300	TALLAHASSEE	FL	32317-3300	13F HOLDINGS REPORT	028-03889			N	
0001172661-25-004969	30-SEP-2025	N							CLG LLC	4821 E. 2nd Street		Long Beach	CA	90803	13F HOLDINGS REPORT	028-25490	000282605	801-108414	N	
0000070858-25-000440	30-SEP-2025								BANK OF AMERICA CORP /DE/	BANK OF AMERICA CORPORATE CENTER	100 N TRYON ST	CHARLOTTE	NC	28255	13F HOLDINGS REPORT	028-00158		001-06523	N	
0001750405-25-000009	30-SEP-2025								Truvestments Capital LLC	5391 LAKEWOOD RANCH BLVD	SUITE #303	SARASOTA	FL	34240	13F HOLDINGS REPORT	028-18896			N	
0001420506-25-003347	30-SEP-2025	N							PENNINGTON PARTNERS & CO., LLC	7500 OLD GEORGETOWN RD	SUITE 705	BETHESDA	MD	20814	13F HOLDINGS REPORT	028-25328			N	
0001104659-25-112247	30-SEP-2025	N							Larson Financial Group LLC	100 N Broadway	Suite 1700	St Louis	MO	63102	13F HOLDINGS REPORT	028-18440	000140599	801-71543	N	
0000945621-25-001135	30-SEP-2025	N							PRELUDE CAPITAL MANAGEMENT, LLC	600 LEXINGTON AVENUE, 20TH FLOOR		NEW YORK	NY	10022	13F HOLDINGS REPORT	028-12257	000158105	801-73598	Y	"Note: Certain holdings included in this 13F report may be reported in the 13F holdings reports of other institutional investment managers that may be deemed to share investment discretion with Prelude Capital Management, LLC (""Prelude""), but on whose behalf Prelude is not filing this report."
0001795705-25-000009	30-SEP-2025	Y	2	RESTATEMENT					Brooklyn Investment Group	730 3RD AVE	4TH FLOOR	NEW YORK	NY	10017	13F HOLDINGS REPORT	028-23685			N	
0001131181-25-000002	30-SEP-2025	N							Iron Gate Global Advisors LLC	960 N 400 E		NSL	UT	84054	13F HOLDINGS REPORT	028-18139			N	
0001599217-25-000007	30-SEP-2025								Capstone Financial Advisors, Inc.	2001 BUTTERFIELD ROAD, SUITE 1750		DOWNERS GROVE	IL	60515	13F HOLDINGS REPORT	028-15785	000109341	801-56979	N	
0001452765-25-000015	30-SEP-2025								GTS SECURITIES LLC	625 AVENUE OF AMERICAS	3RD FLOOR	NEW YORK	NY	10011	13F HOLDINGS REPORT	028-23370	000149224	8-68126	N	
0001754960-25-000792	30-SEP-2025								Leo Wealth, LLC	860 AIRPORT FREEWAY	SUITE 402	HURST	TX	76054	13F HOLDINGS REPORT	028-24021			N	
0002039659-25-000005	30-SEP-2025								Seneschal Advisors, LLC	2323 N. 30TH STREET	SUITE 200	TACOMA	WA	98403	13F HOLDINGS REPORT	028-25041			N	
0001620220-25-000010	30-SEP-2025	N							Engineers Gate Manager LP	767 5TH AVENUE	7TH FLOOR	NEW YORK	NY	10153	13F HOLDINGS REPORT	028-16688			N	
0001800608-25-000006	30-SEP-2025								Laidlaw Wealth Management LLC	521 5TH AVENUE, 12TH FLOOR		NEW YORK CITY	NY	10175	13F HOLDINGS REPORT	028-20083	000119037	8-53731	N	
0001172661-25-004959	30-SEP-2025	N							ADAGE CAPITAL PARTNERS GP, L.L.C.	200 Clarendon Street, 52nd Floor		Boston	MA	02116	13F HOLDINGS REPORT	028-10046	000160679	801-73131	N	
0001085146-25-005993	30-SEP-2025	N							JANUS HENDERSON GROUP PLC	201 BISHOPSGATE		LONDON	X0	EC2M 3AE	13F HOLDINGS REPORT	028-10904			N	
0001172661-25-004956	30-SEP-2025	N							Corient Private Wealth LLC	830 Brickell Plaza	Suite 4800	Miami	FL	33131	13F HOLDINGS REPORT	028-23108	000319448	801-124978	N	
0001578621-25-000014	30-SEP-2025								LMR Partners LLP	9TH FLOOR, DEVONSHIRE HOUSE	MAYFAIR PLACE	LONDON	X0	W1J 8AJ	13F HOLDINGS REPORT	028-16119			N	
0002048251-25-002362	30-SEP-2025								Graham Capital Management, L.P.	40 HIGHLAND AVENUE		ROWAYTON	CT	06853	13F HOLDINGS REPORT	028-11610	000160925	801-73422	N	
0001739439-25-000031	30-SEP-2025								Rockefeller Capital Management L.P.	45 ROCKEFELLER PLAZA, 5TH FLOOR		NEW YORK	NY	10111	13F HOLDINGS REPORT	028-18743			N	
0001690531-25-000007	30-SEP-2025								Clearwater Capital Advisors, LLC	2800 W. HIGGINS ROAD	SUITE 1025	HOFFMAN ESTATES	IL	60169	13F HOLDINGS REPORT	028-17575	000139886	801-70905	N	
0001062993-25-016818	30-SEP-2025	N							1832 Asset Management L.P.	40 TEMPERANCE STREET	16TH FLOOR	TORONTO	A6	M5H 0B4	13F COMBINATION REPORT	028-11685			N	
0001398344-25-020944	30-SEP-2025	N							Waverly Advisors, LLC	600 UNIVERSITY PARK PLACE	SUITE 501	BIRMINGHAM	AL	35209	13F HOLDINGS REPORT	028-15191	000115332	801-60741	N	
0001443689-25-000020	30-SEP-2025								Senator Investment Group LP	124 E. 14th Street	20th Floor	New York	NY	10003	13F HOLDINGS REPORT	028-13389			N	
0001963212-25-000007	30-SEP-2025								Icon Wealth Advisors, LLC	1980 POST OAK BLVD.	SUITE 1300	HOUSTON	TX	77056	13F HOLDINGS REPORT	028-22756	000319609	801-125893	N	
0000927337-25-000026	30-SEP-2025								WOLVERINE TRADING, LLC	175 W JACKSON	SUITE 200	CHICAGO	IL	60604	13F HOLDINGS REPORT	028-17509			N	
0001600064-25-000011	30-SEP-2025								Tidal Investments LLC	234 WEST FLORIDA STREET	SUITE 203	MILWAUKEE	WI	53204	13F HOLDINGS REPORT	028-19397	000164201	801-76857	N	
0001172661-25-004939	30-SEP-2025	N							GILDER GAGNON HOWE & CO LLC	475 10th Avenue		New York	NY	10018	13F HOLDINGS REPORT	028-03455	000002002	801-65667	N	
0002085853-25-000279	30-SEP-2025	N							WNY Asset Management, LLC	6500 Sheridan Drive	Suite 200	Williamsville	NY	14221	13F HOLDINGS REPORT	028-20935	000153872	801-71632	N	
0001420506-25-003341	30-SEP-2025	N							Sassicaia Capital Advisers LLC	2 JERICHO PLAZA	SUITE 100	JERICHO	NY	11753	13F HOLDINGS REPORT	028-20740			N	
0001971875-25-000005	30-SEP-2025								Empire Financial Management Company, LLC	29 BROADWAY 12TH FLOOR		NEW YORK	NY	10006	13F HOLDINGS REPORT	028-23184	000146097		N	
0000905148-25-003973	30-SEP-2025	N							NOMURA HOLDINGS INC	1-13-1 NIHONBASHI	CHUO-KU	TOKYO	M0	103-8645	13F HOLDINGS REPORT	028-10594			N	
0002044232-25-000004	30-SEP-2025								MINDSET WEALTH MANAGEMENT, LLC	8275 ALLISON POINTE TRAIL	SUITE 230	INDIANAPOLIS	IN	46250	13F HOLDINGS REPORT	028-24472			N	
0000919079-25-000012	30-SEP-2025	N							California Public Employees Retirement System	400 Q ST	Suite 4800	Sacramento	CA	95811	13F HOLDINGS REPORT	028-04896			N	
0001765380-25-000498	30-SEP-2025								Williamson Legacy Group, LLC	484 EAST CARMEL DRIVE	#388	CARMEL	IN	46032	13F HOLDINGS REPORT	028-23770	000318629	801-123281	N	
0002023375-25-000006	30-SEP-2025								Gen-Wealth Partners Inc	244 EAST MAIN AVENUE		ZEELAND	MI	49464	13F HOLDINGS REPORT	028-24161	000281330	801-118828	N	
0002044285-25-000006	30-SEP-2025								Dauntless Investment Group, LLC	3283 FOXFIRE DR.		MILFORD	MI	48380	13F HOLDINGS REPORT	028-25194			Y	"The information included on the Information Table with respect to the holdings of Femasys Inc. (""FEMA"") and Kazia Therapeutics Limited (""KZIA"") reflect the exercise of Pre-funded Warrants held by Dauntless Investment Group, LLC (""DIG"") after giving effect to provisions that prevent the exercise of such securities if the beneficial ownership of such entity would exceed 9.99% of the underlying security following such exercise. As of September 30, 2025, DIG held an aggregate of 4,395,996 Common Shares of FEMA and 176,822 American Depository Shares of KZIA."
0001335644-25-000004	30-SEP-2025	N							SCOTIA CAPITAL INC.	40 KING ST.WEST, SCOTIA PLAZA 33RD FLOOR		TORONTO	A6	M5W 2X6	13F HOLDINGS REPORT	028-11461			N	
0001140361-25-042195	30-SEP-2025	N							Fiduciary Trust Co	53 State Street	P.O. Box 55806	Boston	MA	02109	13F HOLDINGS REPORT	028-00471			N	
0001795705-25-000008	30-SEP-2025								Brooklyn Investment Group	730 3RD AVE	4TH FLOOR	NEW YORK	NY	10017	13F HOLDINGS REPORT	028-23685			N	
0001172661-25-004934	30-SEP-2025	N							Keebeck Wealth Management	150 N. Riverside Plaza	Suite 1850	Chicago	IL	60606	13F HOLDINGS REPORT	028-20150	000297496	801-113573	N	
0002056693-25-000005	30-SEP-2025								MPWM ADVISORY SOLUTIONS, LLC	8000 AVALON BLVD., STE 100		ALPHARETTA	GA	30009	13F HOLDINGS REPORT	028-25348	000169885	801-78961	N	
0001193125-25-282311	30-SEP-2025	N							UBS AM, A DISTINCT BUSINESS UNIT OF UBS ASSET MANAGEMENT AMERICAS LLC	ONE NORTH WACKER DRIVE		CHICAGO	IL	60606	13F COMBINATION REPORT	028-02682		028-02682	N	
0001364725-25-000009	30-SEP-2025								CIM, LLC	30 S. PEARL STREET, 9TH FLOOR		ALBANY	NY	12207	13F HOLDINGS REPORT	028-11985	000132136		N	
0001677044-25-000022	30-SEP-2025								OSAIC HOLDINGS, INC.	18700 HAYDEN RD.	SUITE 255	SCOTTSDALE	AZ	85225	13F HOLDINGS REPORT	028-20288			N	
0001912128-25-000006	30-SEP-2025								McDonough Capital Management, Inc	6000 TURKEY LAKE ROAD SUITE 212		ORLANDO	FL	32819	13F HOLDINGS REPORT	028-22297	000143767		N	
0001193125-25-282298	30-SEP-2025	N							SILVERCREST ASSET MANAGEMENT GROUP LLC	1330 AVE OF THE AMERICAS	38TH FL	New York	NY	10019	13F HOLDINGS REPORT	028-10472	000118333	801-61004	N	
0001587973-25-000010	30-SEP-2025								State of Tennessee, Department of Treasury	502 DEADERICK STREET	13TH FL, ATTN: LEGAL COMPLIANCE & AUDIT	NASHVILLE	TN	37243	13F HOLDINGS REPORT	028-15649			N	
0001760540-25-000004	30-SEP-2025								Strategic Investment Advisors / MI	27555 EXECUTIVE DRIVE	SUITE 165	FARMINGTON HILLS	MI	48331	13F HOLDINGS REPORT	028-19073			N	
0000080255-25-000782	30-SEP-2025								PRICE T ROWE ASSOCIATES INC /MD/	P.O. BOX 89000		BALTIMORE	MD	21289	13F COMBINATION REPORT	028-00115			N	
0001172661-25-004930	30-SEP-2025	N							Summit Financial, LLC	4 CAMPUS DRIVE		PARSIPPANY	NJ	07054	13F HOLDINGS REPORT	028-19062			N	
0001520710-25-000008	30-SEP-2025								Uniplan Investment Counsel, Inc.	839 N JEFFERSON ST	SUITE 502	MILWAUKEE	WI	53202	13F HOLDINGS REPORT	028-16961	000154718	801-71802	N	
0000709447-25-000026	30-SEP-2025								CITY NATIONAL BANK OF FLORIDA /MSD	100 SE 2ND ST	19TH FLOOR	MIAMI	FL	33131	13F HOLDINGS REPORT	028-25359			N	
0001803988-25-000007	30-SEP-2025								Trust Co of Kansas	PO BOX 3699		WICHITA	KS	67201-3699	13F HOLDINGS REPORT	028-20170			N	
0001420506-25-003336	30-SEP-2025	N							DeepCurrents Investment Group LLC	575 FIFTH AVENUE, 21ST FLOOR		NEW YORK	NY	10017	13F HOLDINGS REPORT	028-19350	000288159	801-110457	N	
0002022297-25-000012	30-SEP-2025								Federation des caisses Desjardins du Quebec	100 RUE DES COMMANDEURS		LEVIS	A8	G6V5C1	13F HOLDINGS REPORT	028-24160			N	
0001193125-25-282267	30-SEP-2025	N							Balyasny Asset Management L.P.	444 West Lake Street 50th Floor		Chicago	IL	60606	13F COMBINATION REPORT	028-10402	000138111	801-66002	N	
0001759654-25-000012	30-SEP-2025								Quantinno Capital Management LP	66 HUDSON BLVD E	23RD FLOOR	NEW YORK	NY	10001	13F HOLDINGS REPORT	028-19308	000298733	801-114071	N	
0001172661-25-004927	30-SEP-2025	N							Prosperity Wealth Management, Inc.	2333 San Ramon Valley Blvd.	Suite 200	San Ramon	CA	94583	13F HOLDINGS REPORT	028-23385	000174328	801-101485	N	
0001968434-25-000005	30-SEP-2025								Wealth Preservation Advisors, LLC	832 GEORGIA AVE, SUITE 350		CHATTANOOGA	TN	37402	13F HOLDINGS REPORT	028-25588			N	
0001481986-25-000045	30-SEP-2025								DRW Securities, LLC	540 WEST MADISON STREET	SUITE 2500	CHICAGO	IL	60661	13F HOLDINGS REPORT	028-13722	000045908	8-51241	N	
0001951757-25-001436	30-SEP-2025								Navis Wealth Advisors, LLC	800 WESTCHESTER AVENUE	SUITE 700	RYE BROOK	NY	10573	13F HOLDINGS REPORT	028-21090			N	
0001104659-25-112136	30-SEP-2025	N							Calydon Capital	949 S SHADY GROVE ROAD	SUITE 402	MEMPHIS	TN	38120	13F HOLDINGS REPORT	028-19396			N	
0000872786-25-000039	30-SEP-2025								BNP PARIBAS	787 SEVENTH AVENUE		NEW YORK	NY	10019	13F HOLDINGS REPORT	028-04059			N	
0002032856-25-000005	30-SEP-2025								Blue Capital, Inc.	3814 FARNAM ST.	STE. 202	OMAHA	NE	68131	13F HOLDINGS REPORT	028-25183			N	
0001193125-25-282256	30-SEP-2025	N							BANCO BILBAO VIZCAYA ARGENTARIA, S.A.	CALLE AZUL 4		Madrid	U3	28050	13F HOLDINGS REPORT	028-19997		1-10110	N	
0001597298-25-000005	30-SEP-2025								Verity Asset Management, Inc.	280 S MANGUM ST STE 550		DURHAM	NC	27701-3683	13F HOLDINGS REPORT	028-15857			N	
0001890698-25-000006	30-SEP-2025								MARIPAU WEALTH MANAGEMENT LLC	4509 MAPLECREST ROAD		FORT WAYNE	IN	46835	13F HOLDINGS REPORT	028-21797	000311934	801-120262	N	
0001846138-25-000006	30-SEP-2025								SITTNER & NELSON, LLC	497 OAKWAY RD.	SUITE 300	EUGENE	OR	97401	13F HOLDINGS REPORT	028-20801	000309757	801-119243	N	
0000749044-25-000007	30-SEP-2025								RESOURCES MANAGEMENT CORP /CT/ /ADV	643 PROSPECT AVENUE		WEST HARTFORD	CT	06105	13F HOLDINGS REPORT	028-18952			N	
0001951757-25-001435	30-SEP-2025								1858 WEALTH MANAGEMENT, LLC	3250 WEST MARKET STREET	SUITE 105	AKRON	OH	44333	13F HOLDINGS REPORT	028-23789			N	
0001172661-25-004923	30-SEP-2025	N							Creegan & Nassoura Financial Group, LLC	1 New Hampshire Avenue, Suite 125		Portsmouth	NH	03801	13F HOLDINGS REPORT	028-16535	000116663	801-63316	N	
0001172661-25-004921	30-SEP-2025	N							Polar Capital Holdings Plc	16 Palace Street		London	X0	SW1E 5JD	13F HOLDINGS REPORT	028-20910	000136133	801-64644	N	
0001332632-25-000014	30-SEP-2025								CHILTON INVESTMENT CO INC.	1290 EAST MAIN STREET	1ST FLOOR	STAMFORD	CT	06902	13F HOLDINGS REPORT	028-11480			N	
0001996449-25-000007	30-SEP-2025								Susquehanna Portfolio Strategies, LLC	401 E. CITY AVE	Suite 220	Bala Cynwyd	PA	19004	13F HOLDINGS REPORT	028-23824			N	
0001830922-25-000007	30-SEP-2025								CHIRON CAPITAL MANAGEMENT, LLC	261 PINEWOOD DRIVE		TALLAHASSEE	FL	32303	13F HOLDINGS REPORT	028-20413			N	
0001172661-25-004914	30-SEP-2025	N							Rinkey Investments	11622 El Camino Real	Suite 100	San Diego	CA	92130	13F HOLDINGS REPORT	028-22269	000149576	801-122912	N	
0001951757-25-001433	30-SEP-2025								Corps Capital Advisors, LLC	1900 W KIRKWOOD BLVD	SUITE 1400B	SOUTHLAKE	TX	76092	13F HOLDINGS REPORT	028-24706			N	
0001432539-25-000010	30-SEP-2025								Strategic Financial Services, Inc.	114 BUSINESS PARK DRIVE		UTICA	NY	13502	13F HOLDINGS REPORT	028-13318	000109677	801-33774	N	
0001094429-25-000018	30-SEP-2025								SIG BROKERAGE, LP	401 CITY LANE AVE		BALA CYNWYD	PA	19004	13F HOLDINGS REPORT	028-25229			N	
0001172661-25-004912	30-JUN-2025	Y	1	RESTATEMENT	N				NorthRock Partners, LLC	225 SOUTH 6TH STREET	SUITE 1400	MINNEAPOLIS	MN	55402	13F HOLDINGS REPORT	028-16755	000167908	801-78194	N	
0001172661-25-004911	30-SEP-2025	N							SOROS CAPITAL MANAGEMENT LLC	250 West 55th Street		New York	NY	10019	13F HOLDINGS REPORT	028-19909			N	
0001535943-25-000013	30-SEP-2025								Alphadyne Asset Management LP	17 STATE STREET, 30TH FLOOR		NEW YORK	NY	10004	13F HOLDINGS REPORT	028-16342			N	
0001140361-25-042165	30-SEP-2025	N							MORGENS WATERFALL VINTIADIS & CO INC	1270 AVENUE OF THE AMERICAS	SUITE 214	NEW YORK	NY	10020	13F HOLDINGS REPORT	028-04599	000108692	801-55062	N	
0001826635-25-000006	30-SEP-2025								AXA Investment Managers S.A.	6 PLACE DE LA PYRAMIDE	TOUR MAJUNGA	PUTEAUX	I0	92800	13F HOLDINGS REPORT	028-25864			Y	Security positions included within this Holding Report are held by entities referenced herein. Other banking and advisory affiliates report separately. All affiliates are owned by the ultimate parent company, BNP Paribas SA. Please contact Victoria Warme (0033144459027) and BOR@axa-im.com with any questions.
0001109448-25-000079	30-SEP-2025								ALLIANCEBERNSTEIN L.P.	501 COMMERCE STREET		NASHVILLE	TN	37203	13F HOLDINGS REPORT	028-10562			Y	All media outlets, please contact Carly Symington at AllianceBernstein (629-213-5568) with any questions. All other questions can be directed to Section13U5Filings@alliancebernstein.com.
0001446194-25-000027	30-SEP-2025								SUSQUEHANNA INTERNATIONAL GROUP, LLP	401 CITY AVENUE, SUITE 220		BALA CYNWYD	PA	19004	13F HOLDINGS REPORT	028-13216			N	
0001120927-25-000008	30-SEP-2025								MONETA GROUP INVESTMENT ADVISORS LLC	100 SOUTH BRENTWOOD	SUITE 500	ST LOUIS	MO	63105	13F HOLDINGS REPORT	028-05899			N	
0001597694-25-000050	30-SEP-2025								MUFG Securities EMEA plc	ROPEMAKER PLACE	25 ROPEMAKER STREET	LONDON	X0	EC2Y 9AJ	13F HOLDINGS REPORT	028-15731			N	
0001940461-25-000010	30-SEP-2025								Advanced Portfolio Management, LLC	1330 AVENUE OF THE AMERICAS	SUITE 36A	NEW YORK	NY	10019	13F HOLDINGS REPORT	028-23278			N	
0001172661-25-004910	30-SEP-2025	N							DIMENSION CAPITAL MANAGEMENT LLC	2800 Ponce De Leon Blvd	15th Floor	Coral Gables	FL	33134	13F HOLDINGS REPORT	028-18068	000109380	801-54709	N	
0001454027-25-000007	30-SEP-2025								Verition Fund Management LLC	ONE AMERICAN LANE		GREENWICH	CT	06831	13F HOLDINGS REPORT	028-13309	000156610	801-74000	N	
0001737109-25-000007	30-SEP-2025								Integrated Wealth Concepts LLC	200 FIFTH AVENUE	SUITE 4010	WALTHAM	MA	02451	13F HOLDINGS REPORT	028-18776			N	
0001007280-25-000016	30-SEP-2025								PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO	277 E TOWN ST		COLUMBUS	OH	43215	13F HOLDINGS REPORT	028-05230			N	
0001863523-25-000010	30-SEP-2025								CSM Advisors, LLC	2000 ERICSSON DRIVE	SUITE 100	WARRENDALE	PA	15086-6507	13F HOLDINGS REPORT	028-21264			N	
0001951757-25-001429	30-SEP-2025								BYRNE FINANCIAL FREEDOM, LLC	11 EAST STREET		FRANKLIN	MA	02038	13F HOLDINGS REPORT	028-25516			N	
0001462020-25-000006	30-SEP-2025	N							Chevy Chase Trust Holdings, LLC	7501 WISCONSIN AVENUE	SUITE 1500W	BETHESDA	MD	20814	13F HOLDINGS REPORT	028-13507			N	
0001193125-25-282109	30-SEP-2025	N							AMERIPRISE FINANCIAL INC	1099 AMERIPRISE FINANCIAL CENTER		MINNEAPOLIS	MN	55474	13F COMBINATION REPORT	028-00139			N	
0000701059-25-000019	30-SEP-2025								MML INVESTORS SERVICES, LLC	1295 STATE STREET		SPRINGFIELD	MA	01111-0001	13F HOLDINGS REPORT	028-16947			Y	MML Investors Services, LLC is a wholly-owned subsidiary of Massachusetts Mutual Life Insurance Company (MassMutual). Wherever MML Investors Services, LLC has indicated that it exercises investment discretion with respect to the positions reported on this Form 13F, such positions shall be deemed reported on behalf of MassMutual to the extent that MassMutual is deemed to share investment discretion over the positions as a result of MassMutual's direct ownership interest in MML Investors Services, LLC.
0001420506-25-003307	30-SEP-2025	N							Aigen Investment Management, LP	411 FIFTH AVE		NEW YORK	NY	10016	13F HOLDINGS REPORT	028-19744	000297391	801-114220	N	
0001816427-25-000005	30-SEP-2025								Crawford Fund Management, LLC	265 FRANKLIN STREET	SUITE 1702	BOSTON	MA	02110-3144	13F HOLDINGS REPORT	028-23840	000158659	801-125023	N	
0002011176-25-000007	30-SEP-2025								Pingora Partners LLC	PO BOX 1250		WILSON	WY	83014	13F HOLDINGS REPORT	028-23710	000148262	801-130523	N	
0001172661-25-004907	30-SEP-2025	N							EVOKE WEALTH, LLC	10635 Santa Monica Boulevard	Suite 240	Los Angeles	CA	90025	13F HOLDINGS REPORT	028-19615	000300856	801-115290	N	
0001104659-25-112088	30-SEP-2025	N							FCA CORP /TX	791 Town & Country Blvd, Suite 250		Houston	TX	77024	13F HOLDINGS REPORT	028-10019	000110658	801-20514	N	
0001533421-25-000019	30-SEP-2025								Tower Research Capital LLC (TRC)	120 BROADWAY	38TH FLOOR	NEW YORK	NY	10271	13F HOLDINGS REPORT	028-15416			N	
