ACCESSION_NUMBER	REPORTCALENDARORQUARTER	ISAMENDMENT	AMENDMENTNO	AMENDMENTTYPE	CONFDENIEDEXPIRED	DATEDENIEDEXPIRED	DATEREPORTED	REASONFORNONCONFIDENTIALITY	FILINGMANAGER_NAME	FILINGMANAGER_STREET1	FILINGMANAGER_STREET2	FILINGMANAGER_CITY	FILINGMANAGER_STATEORCOUNTRY	FILINGMANAGER_ZIPCODE	REPORTTYPE	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	PROVIDEINFOFORINSTRUCTION5	ADDITIONALINFORMATION
0001911520-25-000006	30-SEP-2025								Cladis Investment Advisory, LLC	180 S 32ND ST WEST	SUITE 1	BILLINGS	MT	59102	13F HOLDINGS REPORT	028-22477	000153873	801-126137	N	
0001193125-25-278347	30-SEP-2025	N							Meiji Yasuda Asset Management Co Ltd.	2-3-2 Otemachi	Chiyoda-ku	Tokyo	M0	100-0004	13F HOLDINGS REPORT	028-13925			N	
0001193125-25-278358	30-SEP-2025	N							Meiji Yasuda Life Insurance Co	2-1-1, MARUNOUCHI,CHIYODA-KU		TOKYO	M0	100-0005	13F COMBINATION REPORT	028-13926			N	
0001754960-25-000779	30-SEP-2025								Cottage Street Advisors LLC	9 COTTAGE STREET	PO BOX 249	MARION	MA	02738	13F HOLDINGS REPORT	028-17125			N	
0001140361-25-041747	30-SEP-2025	N							SCHRODER INVESTMENT MANAGEMENT GROUP	1 London Wall Place		London	X0	EC2Y 5AU	13F HOLDINGS REPORT	028-04731			N	
0001351431-25-000008	30-SEP-2025								Matthew 25 Management Corp	122 E. BUTLER AVENUE	SUITE 300	AMBLER	PA	19002	13F HOLDINGS REPORT	028-11589	000104566		N	
0001535387-25-000007	30-SEP-2025								Dynamic Technology Lab Private Ltd	#04-01B, DELTA HOUSE	2 ALEXANDRA ROAD	SINGAPORE	U0	159919	13F HOLDINGS REPORT	028-16216			N	
0001972138-25-000008	30-SEP-2025								Alpha Financial Advisors, LLC	11325 N COMMUNITY HOUSE RD.	SUITE 410	CHARLOTTE	NC	28277	13F HOLDINGS REPORT	028-23181	000122545		N	
0001791126-25-000002	30-SEP-2025	N							Triton Wealth Management, PLLC	13211 N 103RD AVE, STE. 4		SUN CITY	AZ	85351	13F HOLDINGS REPORT	028-20255			N	
0002040070-25-000007	30-SEP-2025	N							Integrated Capital Management, LLC	21 E. LONG LAKE ROAD	SUITE 102	BLOOMFIELD	MI	48304	13F HOLDINGS REPORT	028-24443			N	
0001398344-25-020813	30-SEP-2025	N							Powell Investment Advisors, LLC	3444 MAIN HIGHWAY	2ND FLOOR	MIAMI	FL	33133	13F HOLDINGS REPORT	028-19815	000160333	801-74420	N	
0001986152-25-000103	30-SEP-2025								PRUDENT INVESTORS NETWORK, INC.	22932 EL TORO RD		LAKE FOREST	CA	92630	13F HOLDINGS REPORT	028-19709	000127284	801-79432	N	
0001915494-25-000002	30-SEP-2025	N							Clientfirst Wealth Management, LLC	1501 N UNIVERSITY AVE	715	LITTLE ROCK	AR	72207	13F HOLDINGS REPORT	028-22398	000120286	801-67589	N	
0001601348-25-000007	30-SEP-2025								Riggs Asset Managment Co. Inc.	THE GRAND HIGHLANDS	TWO NEWBERRY ESTATES	DALLAS	PA	18612	13F HOLDINGS REPORT	028-16103	000107233	801-38171	N	
0001690010-25-000009	30-SEP-2025								Parallel Advisors, LLC	150 SPEAR STREET	SUITE 1600	SAN FRANCISCO	CA	94105	13F HOLDINGS REPORT	028-17792	000140800	801-68107	N	
0002066359-25-000003	30-SEP-2025								Integrity Investment Advisors, LLC	3275 TWIN HERON CT.		FORT COLLINS	CO	80528	13F HOLDINGS REPORT	028-25533	000154131		N	
0001864123-25-000008	30-SEP-2025								Goodman Advisory Group, LLC	197 FIRST AVENUE	SUITE 130	NEEDHAM	MA	02494	13F HOLDINGS REPORT	028-21560			N	
0000312069-25-000619	30-SEP-2025								BARCLAYS PLC	1 CHURCHILL PLACE	CANARY WHARF	LONDON	X0	E14 5HP	13F HOLDINGS REPORT	028-00826			N	
0001754960-25-000777	30-SEP-2025								Consolidated Portfolio Review Corp	125 FROEHLICH FARM BLVD		WOODBURY	NY	11797	13F HOLDINGS REPORT	028-23230			N	
0001398344-25-020811	30-SEP-2025	N							PITCAIRN CO	161 WASHINGTON STREET	SUITE 801	CONSHOHOCKEN	PA	19428	13F HOLDINGS REPORT	028-00460			N	
0001941040-25-000649	30-SEP-2025	N							Solstein Capital, LLC	1285 El Camino Real, Ste 100		Menlo Park	CA	94025	13F HOLDINGS REPORT	028-18536	000157888	801-112859	N	
0001941040-25-000648	30-SEP-2025	N							Perennial Investment Advisors, LLC	11620 Wilshire Boulevard	Suite 400	Los Angeles	CA	90025	13F HOLDINGS REPORT	028-19784	000286477	801-110619	N	
0000200724-25-000007	30-SEP-2025								SMITH, MOORE & CO.	7777 BONHOMME AVE., SUITE 2400		CLAYTON	MO	63105	13F HOLDINGS REPORT	028-15770	000003441	801-68175	N	
0001941040-25-000647	30-SEP-2025	N							United Capital Management of KS, Inc.	227 N. SANTA FE AVE.		SALINA	KS	67401	13F HOLDINGS REPORT	028-18906	000157755	801-80159	N	
0001941040-25-000646	30-SEP-2025	N							ISLAY CAPITAL MANAGEMENT, LLC	8001 Quaker Avenue	Suite J	Lubbock	TX	79424	13F HOLDINGS REPORT	028-19845	000114531	801-61327	N	
0001539204-25-000008	30-SEP-2025								Crossmark Global Holdings, Inc.	15375 MEMORIAL DR, SUITE 200		HOUSTON	TX	77079	13F HOLDINGS REPORT	028-18152			N	
0001580642-25-007239	30-SEP-2025	N							Orion Porfolio Solutions, LLC	17605 Wright Street		Omaha	NE	68130	13F COMBINATION REPORT	028-11877			N	
0001941040-25-000644	30-SEP-2025	N							Integrated Quantitative Investments LLC	4268 133RD AVE SE		BELLEVUE	WA	98006	13F HOLDINGS REPORT	028-25001	000310106	801-128606	N	
0001941040-25-000643	30-SEP-2025	N							Leeward Financial Partners, LLC	10015 NE 4TH STREET	#4001	Bellevue	WA	98004	13F HOLDINGS REPORT	028-21499	000288779	801-119921	N	
0002093991-25-000001	30-SEP-2025								Mann Financial Group, Inc.	613 HWY 10 E		DETROIT LAKES	MN	56501	13F HOLDINGS REPORT	028-25841	000297878	801-8449	N	
0001941040-25-000642	30-SEP-2025	N							KCM INVESTMENT ADVISORS LLC	300 DRAKES LANDING ROAD	SUITE 210	GREENBRAE	CA	94904	13F HOLDINGS REPORT	028-05651	000109629	801-55395	N	
0001905367-25-000005	30-SEP-2025								Orcam Financial Group	433 UNION ST		ENCINITAS	CA	92024	13F COMBINATION REPORT	028-21688			N	
0001941040-25-000640	30-SEP-2025	N							KANE INVESTMENT MANAGEMENT, INC.	15466 LOS GATOS BLVD.	SUITE 213	LOS GATOS	CA	95032	13F HOLDINGS REPORT	028-25086			N	
0001941040-25-000638	30-SEP-2025	N							ENTREWEALTH, LLC	1101 QUAKER RIDGE DR		AUSTIN	TX	78746	13F HOLDINGS REPORT	028-24865	000317553	801-130035	N	
0002011325-25-000006	30-SEP-2025								Triavera Capital LLC	60 E. SIR FRANCIS DRAKE BLVD	SUITE 302	LARKSPUR	CA	94939	13F HOLDINGS REPORT	028-25251	000329548	801-134054	N	
0001140361-25-041679	30-SEP-2025	N							DKRT Investments Corp.	Suite 2400, 65 Queen Street West		Toronto	A6	M5H 2M8	13F HOLDINGS REPORT	028-25745			N	
0001140361-25-041678	30-SEP-2025	N							TRUSTMARK BANK TRUST DEPARTMENT	248 EAST CAPITOL STREET		JACKSON	MS	39201	13F HOLDINGS REPORT	028-02681			N	
0001140361-25-041674	30-SEP-2025	N							Woodbridge Co Ltd	65 Queen Street West	Suite 2400	Toronto	A6	M5H2M8	13F HOLDINGS REPORT	028-25739			N	
0001615135-25-000007	30-SEP-2025								Ironsides Asset Advisors, LLC	511 TARRYTOWN CENTER		ROCKY MOUNT	NC	27804	13F HOLDINGS REPORT	028-16208	000161683	801-77838	N	
0001140361-25-041671	30-SEP-2025	N							GABELLI FUNDS LLC	One Corporate Center		Rye	NY	10580	13F HOLDINGS REPORT	028-10894	000104949	801-37706	N	
0001140361-25-041670	30-SEP-2025	N							GAMCO INVESTORS, INC. ET AL	191 MASON STREET		GREENWICH	CT	06830	13F HOLDINGS REPORT	028-01887	000104950	801-14132	N	
0001140361-25-041669	30-SEP-2025	N							GABELLI & Co INVESTMENT ADVISERS, INC.	One Corporate Center		Rye	NY	10580	13F HOLDINGS REPORT	028-10598	000137024	801-65243	N	
0001719165-25-000012	30-SEP-2025								Capital Markets Trading UK LLP	175 PICCADILLY	EMPIRE HOUSE 5TH FLOOR	LONDON	X0	W1J 9EN	13F HOLDINGS REPORT	028-18638			N	
0001941040-25-000635	30-SEP-2025	N							Capasso Planning Partners LLC	635 East Bay Street	Suite C	Charleston	SC	29403	13F HOLDINGS REPORT	028-22271	000294673	801-120995	N	
0001802635-25-000007	30-SEP-2025								One Wealth Map LLC	1980 FESTIVAL PLAZA DRIVE	SUITE 300	LAS VEGAS	NV	89135	13F HOLDINGS REPORT	028-20260			N	
0001941040-25-000634	30-SEP-2025	N							Artemis Wealth Advisors, LLC	570 Lexington Avenue	39th Floor	New York	NY	10022	13F HOLDINGS REPORT	028-22423	000150810	801-71019	N	
0001104659-25-110452	30-SEP-2025	N							Left Brain Wealth Management, LLC	215 Shuman Blvd	#304	Naperville	IL	60563	13F HOLDINGS REPORT	028-23029	000170348	801-113256	N	
0000892712-25-000147	30-SEP-2025								MARIETTA INVESTMENT PARTNERS LLC	833 EAST MICHIGAN STREET	SUITE 980	MILWAUKEE	WI	53202	13F HOLDINGS REPORT	028-05741	000108479	801-57179	N	
0001806755-25-000008	30-SEP-2025								Systematic Alpha Investments, LLC	36 MERCER STREET		PRINCETON	NJ	08540	13F HOLDINGS REPORT	028-21138	000297693	801-113846	N	
0001632813-25-000007	30-SEP-2025								CMT Capital Markets Trading GmbH	156 N JEFFERSON ST.	SUITE 102	CHICAGO	IL	60661	13F HOLDINGS REPORT	028-16985			N	
0001398344-25-020792	30-SEP-2025	N							Aptus Capital Advisors, LLC	314 MAGNOLIA AVENUE		FAIRHOPE	AL	36532	13F HOLDINGS REPORT	028-19129	000167626	801-107723	N	
0001951757-25-001408	30-SEP-2025								Berry Wealth Group, LP	920 WHITEHEAD DR.		GRANBURY	TX	76048	13F HOLDINGS REPORT	028-23595			N	
0001599620-25-000007	30-SEP-2025								Blue Edge Capital, LLC	5706 GROVE AVENUE	SUITE 202	RICHMOND	VA	23226	13F HOLDINGS REPORT	028-15801	000155613	801-77861	N	
0001754960-25-000775	30-SEP-2025								Brooklyn FI, LLC	228 PARK AVE S, PMB 39217		NEW YORK	NY	10003	13F HOLDINGS REPORT	028-22460	000292115		N	
0001951757-25-001407	30-SEP-2025								PARAGON FINANCIAL PARTNERS, INC.	5850 CANOGA AVENUE	SUITE 400	WOODLAND HILLS	CA	91367	13F HOLDINGS REPORT	028-21998			N	
0001951757-25-001406	30-SEP-2025								PALO ALTO WEALTH ADVISORS, LLC	715 COLORADO AVENUE	SUITE A	PALO ALTO	CA	94303	13F HOLDINGS REPORT	028-22829			N	
0001104659-25-110426	30-SEP-2025	N							WALLED LAKE PLANNING & WEALTH MANAGEMENT, LLC	600 ELM PLACE		HIGHLAND PARK	IL	60035	13F HOLDINGS REPORT	028-20278	000299595	801-114386	N	
0002071844-25-000446	30-SEP-2025								LOM Asset Management Ltd	27 REID STREET		HAMILTON	D0	HM11	13F HOLDINGS REPORT	028-25692			N	
0001034549-25-000009	30-SEP-2025								PARADIGM ASSET MANAGEMENT CO LLC	445 HAMILTON AVENUE	11TH FLOOR	NEW YORK	NY	10601	13F HOLDINGS REPORT	028-06194			N	
0001172661-25-004735	30-SEP-2025	N							Integrity Advisory Solutions, LLC	1445 ROSS AVE, 55TH FLOOR		DALLAS	TX	75202	13F HOLDINGS REPORT	028-25839	000288817	801-123090	N	
0001172661-25-004734	30-SEP-2025	N							Mach-1 Financial Group, LLC	1001 S. 52nd Street	Suite 100	Rogers	AR	72758	13F HOLDINGS REPORT	028-20742	000298195	801-118093	N	
0001278641-25-000006	30-SEP-2025								BEDDOW CAPITAL MANAGEMENT INC	199 E PEARL AVENUE, SUITE 102	PO BOX 530	JACKSON	WY	83001	13F HOLDINGS REPORT	028-11101			N	
0001951757-25-001405	30-SEP-2025								Compton Financial Group, LLC	403 ALLEGHENY AVENUE		TOWSON	MD	21204	13F HOLDINGS REPORT	028-20839			N	
0001167487-25-000007	30-SEP-2025	N							LONGFELLOW INVESTMENT MANAGEMENT CO LLC	125 HIGH STREET, SUITE 832		BOSTON	MA	02110	13F HOLDINGS REPORT	028-10136			N	
0002050308-25-000008	30-SEP-2025								ONE WEALTH CAPITAL MANAGEMENT, LLC	4900 NORTH SCOTTSDALE ROAD	SUITE 4900	SCOTTSDALE	AZ	85251	13F HOLDINGS REPORT	028-24535			N	
0001104659-25-110406	30-SEP-2025	N							University of Illinois Foundation	303 St. Mary's Road		Champaign	IL	61820	13F HOLDINGS REPORT	028-23934			N	
0001965239-25-000008	30-SEP-2025								STF Management LP	6136 FRISCO SQUARE BLVD SUITE 400		FRISCO	TX	75034	13F HOLDINGS REPORT	028-23027	000173690	801-123657	N	
0001976157-25-000008	30-SEP-2025								M1 Capital Management LLC	200 EAST BIG BEAVER ROAD	STE 132	TROY	MI	48083	13F HOLDINGS REPORT	028-25467			N	
0001951757-25-001404	30-SEP-2025								Bouchey Financial Group Ltd	1819 5TH AVE		TROY	NY	12833	13F HOLDINGS REPORT	028-15804			N	
0001951757-25-001403	30-SEP-2025								Heron Bay Capital Management	40701 WOODWARD AVE SUITE 104		BLOOMFIELD HILLS	MI	48304	13F HOLDINGS REPORT	028-20805			N	
0001765380-25-000491	30-SEP-2025								Truepoint, Inc.	9999 CARVER ROAD	SUITE 200	CINCINNATI	OH	45242	13F HOLDINGS REPORT	028-13017	000105664	801-25433	N	
0001951757-25-001402	30-SEP-2025								Leading Edge Financial Planning LLC	6921 OFFICE PARK CIRCLE		KNOXVILLE	TN	37909	13F HOLDINGS REPORT	028-23156			N	
0001765380-25-000490	30-SEP-2025								Campbell Deegan Wealth Management, LLC	8730 STONY POINT PARKWAY	SUITE 100	RICHMOND	VA	23235	13F HOLDINGS REPORT	028-25452	000293020	801-112661	N	
0001951757-25-001401	30-SEP-2025								Sunpointe, LLC	8301 MARYLAND AVENUE	SUITE 300	ST. LOUIS	MO	63105	13F HOLDINGS REPORT	028-23978			N	
0001909828-25-000008	30-SEP-2025								Lauterbach Financial Advisors, LLC	4130 RIO BRAVO ST.		EL PASO	TX	79902	13F HOLDINGS REPORT	028-21654	000114431		N	
0001013594-25-001382	30-SEP-2025	N							DCF Advisers, LLC	583 ISLAND WALK E.		MOUNT PLEASANT	SC	29464	13F HOLDINGS REPORT	028-19889			N	
0001951757-25-001400	30-SEP-2025								Intellectus Partners, LLC	1050 BATTERY STREET	SUITE 100	SAN FRANCISCO	CA	94111	13F HOLDINGS REPORT	028-17869			N	
0002011882-25-000005	30-SEP-2025								FOSTER DYKEMA CABOT & PARTNERS, LLC	1075 MAIN STREET	SUITE 200	WALTHAM	MA	02451	13F HOLDINGS REPORT	028-23799	000300282	801-114693	N	
0002056577-25-000004	30-SEP-2025								CHAPMAN FINANCIAL GROUP, LLC	437A HUALANI STREET		KAILUA	HI	96734	13F HOLDINGS REPORT	028-25177	000168439	801-123439	N	
0001062993-25-016671	30-SEP-2025	N							GUARDIAN CAPITAL LP	199 BAY ST. COMMERCE COURT WEST	SUITE 2700, P.O. BOX 201	TORONTO	A6	M5L 1E8	13F HOLDINGS REPORT	028-14316	000105078	801-56081	N	
0001689933-25-000006	30-SEP-2025								Per Stirling Capital Management, LLC.	4800 BEE CAVE ROAD		AUSTIN	TX	78746	13F HOLDINGS REPORT	028-23068	000151671	801-70707	N	
0001193125-25-277473	30-SEP-2025	N							Burgundy Asset Management Ltd.	181 BAY ST.	Suite 4510, BROOKFIELD PLACE	Toronto	A6	M5J 2T3	13F HOLDINGS REPORT	028-11129	000114317	028-11129	N	
0001049854-25-000012	30-SEP-2025	N							HAP Trading, LLC	395 HUDSON STREET, 10TH FLOOR		NEW YORK	NY	10014	13F HOLDINGS REPORT	028-25838			N	
0001576762-25-000004	30-SEP-2025	N							Advisory Alpha, LLC	348 S. Waverly Rd., Suite 100		HOLLAND	MI	49423	13F HOLDINGS REPORT	028-15942	000158282	801-72499	N	
0002058426-25-000005	30-SEP-2025								Corient IA LLC	830 BRICKELL PLAZA	SUITE 4800	MIAMI	FL	33131	13F HOLDINGS REPORT	028-25575	000326262	801-127886	N	
0001941040-25-000633	30-SEP-2025	N							Alpha Advisors, LLC/VA	3951 WESTERRE PARKWAY	SUITE 130	RICHMOND	VA	23233	13F HOLDINGS REPORT	028-25836			N	
0001193125-25-277455	30-SEP-2025	N							Alpha Family Trust	2121 Avenue of the Stars	Suite #800	Los Angeles	CA	90067	13F HOLDINGS REPORT	028-20924			N	
0001546989-25-000006	30-SEP-2025								NewSquare Capital LLC	16 CAMPUS BOULEVARD	SUITE 100	NEWTOWN SQUARE	PA	19073	13F HOLDINGS REPORT	028-15123			N	
0001172661-25-004732	30-SEP-2025	N							MKP Capital Management, L.L.C.	600 Lexington Avenue		New York	NY	10022	13F HOLDINGS REPORT	028-15312	000113851	801-58039	N	
0001941040-25-000632	30-JUN-2025	N							Alpha Advisors, LLC/VA	3951 WESTERRE PARKWAY	SUITE 130	RICHMOND	VA	23233	13F HOLDINGS REPORT	028-25836			N	
0001754960-25-000772	30-SEP-2025								Haven Capital Group, Inc.	P.O. BOX 3610		CAMARILLO	CA	93011-3610	13F HOLDINGS REPORT	028-24875			N	
0001140361-25-041634	30-SEP-2025	N							George Kaiser Family Foundation	7030 SOUTH YALE AVENUE	SUITE 600	TULSA	OK	74136	13F HOLDINGS REPORT	028-13551			N	
0001172661-25-004731	30-SEP-2025	N							TWIN FOCUS CAPITAL PARTNERS, LLC	Seventy-five Park Plaza		Boston	MA	02116	13F HOLDINGS REPORT	028-15420	000140522	801-66717	N	
0001941040-25-000631	31-MAR-2025	N							Alpha Advisors, LLC/VA	3951 WESTERRE PARKWAY	SUITE 130	RICHMOND	VA	23233	13F HOLDINGS REPORT	028-25836			N	
0002095589-25-000002	30-SEP-2025								American Wealth Advisors, LLC	10475 MEDLOCK BRIDGE ROAD	IVY FALLS BUILDING 100 SUITE 18	JOHNS CREEK	GA	30097	13F HOLDINGS REPORT	028-25837	000145791		N	
0001941040-25-000630	31-DEC-2024	N							Alpha Advisors, LLC/VA	3951 WESTERRE PARKWAY	SUITE 130	RICHMOND	VA	23233	13F HOLDINGS REPORT	028-25836			N	
0001172661-25-004730	30-SEP-2025	N							AmeriServ Wealth Advisors	216 Franklin Street		Johnstown	PA	15901	13F HOLDINGS REPORT	028-05257	000105846	801-47835	N	
0001674020-25-000008	30-SEP-2025								HORIZON FINANCIAL SERVICES, LLC	3880 VEST MILL RD, STE 100		WINSTON SALEM	NC	27103	13F HOLDINGS REPORT	028-20382	000158798	801-113778	N	
0001082917-25-000007	30-SEP-2025								GW&K Investment Management, LLC	222 BERKELEY ST SUITE 1500		BOSTON	MA	02116	13F HOLDINGS REPORT	028-04145			N	
0001172661-25-004729	30-SEP-2025	N							Cambria Investment Management, L.P.	3300 HIGHLAND AVE		Manhattan Beach	CA	90266	13F COMBINATION REPORT	028-17008	000141600	801-71786	N	
0001861678-25-000006	30-SEP-2025								Bradley & Co. Private Wealth Management, LLC	801 BRICKELL AVENUE	SUITE 800	MIAMI	FL	33131	13F HOLDINGS REPORT	028-21195			N	
0001172661-25-004728	30-SEP-2025	N							Hilton Capital Management, LLC	1010 Franklin Avenue		Garden City	NY	11530	13F HOLDINGS REPORT	028-14787	000116357	801-60776	N	
0001172661-25-004727	30-SEP-2025	N							MayTech Global Investments, LLC	450 Park Ave	Ste 2700	New York	NY	10022	13F HOLDINGS REPORT	028-18381	000285985	801-108849	N	
0001213900-25-109150	30-SEP-2025	N							BOCHK Asset Management Ltd	40/F, Bank of China Tower	1 Garden Road, Central	Hong Kong	K3		13F HOLDINGS REPORT	028-23702			N	
0001606134-25-000006	30-SEP-2025								SCHOLTZ & COMPANY, LLC	107 ELM STREET	FOUR STAMFORD PLAZA, 5TH FLOOR-SUITE 510	STAMFORD	CT	06902	13F HOLDINGS REPORT	028-16145	000107363		N	
0001779040-25-000007	30-SEP-2025								PSI Advisors, LLC	13059 W. LINEBAUGH AVE	SUITE 102	TAMPA	FL	33626	13F HOLDINGS REPORT	028-19925			N	
0001172661-25-004726	30-SEP-2025	N							XN LP	412 West 15th Street	13th Floor	New York	NY	10011	13F HOLDINGS REPORT	028-20965	000308156	801-118477	N	
0001172661-25-004725	30-SEP-2025	N							Freestone Capital Holdings, LLC	701 5th Avenue	74th Floor	Seattle	WA	98104	13F COMBINATION REPORT	028-13894	000145711	801-69073	N	
0001039807-25-000013	30-SEP-2025								BOSTON FAMILY OFFICE LLC	20 CUSTOM HOUSE STREET	SUITE 700	BOSTON	MA	02110	13F HOLDINGS REPORT	028-06344			N	
0001193125-25-277361	30-SEP-2025	N							OAK ASSOCIATES LTD /OH/	3800 EMBASSY PARKWAY	SUITE 310	AKRON	OH	44333	13F HOLDINGS REPORT	028-02338	000108874	801-23632	N	
0001765380-25-000488	30-SEP-2025								Resolute Wealth Strategies, LLC	4400 OLD CANTON ROAD	SUITE 210	JACKSON	MS	39211	13F HOLDINGS REPORT	028-23204	000318599	801-125835	N	
0001213900-25-109136	30-SEP-2025	N							Empire Life Investments Inc.	165 UNIVERSITY AVE 9TH FLOOR		Toronto	A6	M5H 3B8	13F HOLDINGS REPORT	028-17965			N	
0001570271-25-000012	30-SEP-2025								Headlands Technologies LLC	110 N. WACKER DRIVE	54TH FLOOR	CHICAGO	IL	60606	13F HOLDINGS REPORT	028-23018		028-23018	N	
0001420506-25-003139	30-SEP-2025	N							Bluegrass Capital Partners LP	440 Royal Palm Way	SUITE 200	Palm Beach	FL	33480	13F HOLDINGS REPORT	028-20719			N	
0001104659-25-110277	30-SEP-2025	N							Drexel Morgan & Co.	3 Radnor Corporate Center	Suite 450	Radnor	PA	19087-4546	13F COMBINATION REPORT	028-14088	000151053	801-70432	N	
0001846311-25-000006	30-SEP-2025								Vancity Investment Management Ltd	183 TERMINAL AVENUE, 8TH FLOOR		VANCOUVER	A1	V6A 4G2	13F HOLDINGS REPORT	028-20889			N	
0001541596-25-000007	30-SEP-2025								Aspen Investment Management Inc	4020 E BELTLINE NE SUITE 103		GRAND RAPIDS	MI	49525	13F HOLDINGS REPORT	028-14711	000112081	801-58191	N	
0001104659-25-110275	30-SEP-2025	N							Barbara Oil Co.	222 S. RIVERSIDE PLAZA	SUITE 2730	CHICAGO	IL	60606	13F HOLDINGS REPORT	028-16002			N	
0001398344-25-020776	30-SEP-2025	N							MARSICO CAPITAL MANAGEMENT LLC	1200 17TH ST	STE 1700	DENVER	CO	80202	13F HOLDINGS REPORT	028-06748	000109250	801-54914	N	
0001580642-25-007235	30-SEP-2025	N							Winch Advisory Services, LLC	424 E Wisconsin Avenue		Appleton	WI	54911	13F HOLDINGS REPORT	028-16148			N	
0001600035-25-000005	30-SEP-2025								Stonebridge Capital Advisors LLC	2550 UNIVERSITY AVE WEST	SUITE 455 SOUTH	ST PAUL	MN	55114	13F HOLDINGS REPORT	028-16094			N	
0001140361-25-041628	30-SEP-2025	N							Amova Asset Management Americas, Inc.	605 THIRD AVENUE	38TH FLOOR	NEW YORK	NY	10158	13F HOLDINGS REPORT	028-13674			N	
0000947871-25-000986	30-SEP-2025	N							Saudi Central Bank	King Saud Bin Abdulaziz Street		Riyadh	T0	11169	13F HOLDINGS REPORT	028-22558			N	
0001349353-25-000009	30-SEP-2025								United American Securities Inc. (d/b/a UAS Asset Management)	655 THIRD AVENUE, SUITE 2906		NEW YORK	NY	10017	13F HOLDINGS REPORT	028-11585	000021274	801-32004	N	
0001569884-25-000013	30-SEP-2025								RPg Family Wealth Advisory, LLC	25 BURLINGTON MALL ROAD	SUITE 404	BURLINGTON	MA	01803	13F HOLDINGS REPORT	028-17150			N	
0001411784-25-000009	30-SEP-2025								Pinnacle Holdings, LLC	1616 EAST 15TH STREET		TULSA	OK	74120	13F HOLDINGS REPORT	028-12706			N	
0002031979-25-000007	30-SEP-2025								Symphony Financial Services, Inc.	4100 EMBASSY PARKWAY	SUITE 100	AKRON	OH	44333	13F HOLDINGS REPORT	028-24287	000125058	801-63300	N	
0001964958-25-000009	30-SEP-2025								INSIGNEO ADVISORY SERVICES, LLC	1221 BRICKELL AVENUE	27TH FLOOR	MIAMI	FL	33131	13F HOLDINGS REPORT	028-22931	000282589	801-107256	N	
0001214659-25-016306	30-SEP-2025	N							Nautilus Advisors LLC	888 Prospect St Suite 200		La Jolla	CA	92037	13F HOLDINGS REPORT	028-25761	000154169	801-71754	N	
0001801667-25-000009	30-SEP-2025								Great Lakes Retirement, Inc.	4604 TIMBER COMMONS DRIVE		SANDUSKY	OH	44870	13F HOLDINGS REPORT	028-20160			N	
0001905627-25-000003	30-SEP-2025								FSA Advisors, Inc.	50 W BIG BEAVER RD, SUITE 500		TROY	MI	48084	13F COMBINATION REPORT	028-24190	000028625	801-120474	N	
0002009530-25-000008	30-SEP-2025								Evernest Financial Advisors, LLC	75 EXECUTIVE DRIVE, SUITE B		CARMEL	IN	46032	13F HOLDINGS REPORT	028-23795	000328161	801-128908	N	
0001765380-25-000485	30-SEP-2025								PLANNING ALTERNATIVES LTD /ADV	255 SOUTH OLD WOODWARD AVENUE	SUITE 310	BIRMINGHAM	MI	48009	13F HOLDINGS REPORT	028-15145	000110268	801-18310	N	
0001314404-25-000008	30-SEP-2025								JMG Financial Group, Ltd.	2001 BUTTERFIELD ROAD, SUITE 1400		DOWNERS GROVE	IL	60515	13F HOLDINGS REPORT	028-11111	000110302	801-23526	N	
0001706511-25-000005	30-SEP-2025								Israel Discount Bank of New York	1114 AVENUE OF THE AMERICAS	9TH FLOOR	NEW YORK	NY	10036	13F HOLDINGS REPORT	028-17991			N	
0001645890-25-000013	30-SEP-2025								Fiduciary Group, LLC	PO BOX 13688		SAVANNAH	GA	31416	13F HOLDINGS REPORT	028-16953	000221530	801-96251	N	
0001966355-25-000006	30-SEP-2025								Tillman Hartley LLC	3208 E COLONIAL DRIVE #308		ORLANDO	FL	32803-5127	13F HOLDINGS REPORT	028-23138	000109479	801-56787	N	
0001765380-25-000484	30-SEP-2025								One Charles Private Wealth Services, LLC	99 DERBY STREET	SUITE 101	HINGHAM	MA	02043	13F HOLDINGS REPORT	028-19841	000286635	801-109973	N	
0001172661-25-004722	30-SEP-2025	N							MCDONALD PARTNERS LLC	1301 East 9th Street	Suite 3700	Cleveland	OH	44114	13F HOLDINGS REPORT	028-21003	000135414	801-64294	N	
0001162827-25-000007	30-SEP-2025								RBO & CO LLC	PO BOX 306		ST HELENA	CA	94574-0306	13F HOLDINGS REPORT	028-10006	000112172	801-60283	N	
0001819815-25-000006	30-SEP-2025								Bellwether Advisors, LLC	140 N 8TH STREET	SUITE 210	LINCOLN	NE	68508	13F HOLDINGS REPORT	028-20498	000300012	801-114600	N	
0002047201-25-000006	30-SEP-2025								Reyes Financial Architecture, Inc.	4660 LA JOLLA VILLAGE DRIVE	SUITE 725	SAN DIEGO	CA	92122	13F HOLDINGS REPORT	028-25192	000153194	801-125730	N	
0001278249-25-000010	30-SEP-2025								TOWER BRIDGE ADVISORS	300 BARR HARBOR DRIVE	SUITE 705	WEST CONSHOHOCKEN	PA	19428	13F HOLDINGS REPORT	028-10708			N	
